_meta_source,_meta_hs_prefix,_meta_fetched_at_utc,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,pdf_match,pdf_description,description_differs,_chosen_reason,general_rate,special_rate,column2_rate
PDF,,,010000,,20 Unit(s) of Quantity kg t t t t t t t kg kg kg kg kg kg kg kg kg kg,,,,,,0,20 Unit(s) of Quantity kg t t t t t t t kg kg kg kg kg kg kg kg kg kg,0,first,,,
PDF,,,010010,,00 Of fused quartz or other fused silica............................. kg..............,,,,,,0,00 Of fused quartz or other fused silica............................. kg..............,0,first,,,
PDF,,,010014,,"during the 12-month period from September 20 in any year through September 19, inclusive, shall not exceed 20,207.05 metric tons (articles the product of Mexico shall not be permitted or included in the aforementioned quantitative limitation and no such articles shall be classifiable therein). Of the quantitative limitations provided for in this note, the countries listed below shall have access to not less than the quantities specified below: Argentina................................................................... Brazil......................................................................... British East Africa...................................................... British West Africa (except Nigeria and Ghana)........ British West Indies (except Barbados, Bermuda,Jamaica, Trinidad, Tobago)...................... China......................................................................... Colombia................................................................... Ecuador..................................................................... Egypt & Sudan (aggregate)....................................... Haiti........................................................................... Honduras................................................................... India & Pakistan (aggregate)..................................... Indonesia & Netherlands New Guinea (aggregate).... Iraq............................................................................ Nigeria....................................................................... Paraguay................................................................... Peru........................................................................... Armenia, Azerbaijan, Belarus, Estonia, Georgia, Kazakhstan, Kyrgyzstan, Latvia, Lithuania, Moldova, Russia, Tajikistan, Turkmenistan, Ukraine and Uzbekistan (aggregate)........................................... Quantity (kg) 2,360 280,648 1,016 7,259 9,671 621,780 56 4,233 355,532 107 341 908,764 32,381 88 2,438 395 112,469 215,512 6. 7. Other than as provided for in the country allocations above, articles the product of countries or areas who are not members of the World Trade Organization shall not be permitted or included in the quantitative limitations set forth in this note. The aggregate quantity of harsh or rough cotton, not carded or combed, the product of any country or area including the United States, having a staple length of 29.36875 mm (1-5/32 inches) or more but under 34.925 mm (1-3/8 inches) and white in color",,,,,,0,"during the 12-month period from September 20 in any year through September 19, inclusive, shall not exceed 20,207.05 metric tons (articles the product of Mexico shall not be permitted or included in the aforementioned quantitative limitation and no such articles shall be classifiable therein). Of the quantitative limitations provided for in this note, the countries listed below shall have access to not less than the quantities specified below: Argentina................................................................... Brazil......................................................................... British East Africa...................................................... British West Africa (except Nigeria and Ghana)........ British West Indies (except Barbados, Bermuda,Jamaica, Trinidad, Tobago)...................... China......................................................................... Colombia................................................................... Ecuador..................................................................... Egypt & Sudan (aggregate)....................................... Haiti........................................................................... Honduras................................................................... India & Pakistan (aggregate)..................................... Indonesia & Netherlands New Guinea (aggregate).... Iraq............................................................................ Nigeria....................................................................... Paraguay................................................................... Peru........................................................................... Armenia, Azerbaijan, Belarus, Estonia, Georgia, Kazakhstan, Kyrgyzstan, Latvia, Lithuania, Moldova, Russia, Tajikistan, Turkmenistan, Ukraine and Uzbekistan (aggregate)........................................... Quantity (kg) 2,360 280,648 1,016 7,259 9,671 621,780 56 4,233 355,532 107 341 908,764 32,381 88 2,438 395 112,469 215,512 6. 7. Other than as provided for in the country allocations above, articles the product of countries or areas who are not members of the World Trade Organization shall not be permitted or included in the quantitative limitations set forth in this note. The aggregate quantity of harsh or rough cotton, not carded or combed, the product of any country or area including the United States, having a staple length of 29.36875 mm (1-5/32 inches) or more but under 34.925 mm (1-3/8 inches) and white in color",0,first,,,
PDF,,,010018,,00 Other.......................................................................... kg.............. 31.4¢/kg2/,,,,,,0,00 Other.......................................................................... kg.............. 31.4¢/kg2/,0,first,31.4¢/kg,31.4¢/kg,31.4¢/kg
PDF,,,010020,,Pork......................................................................................... .................. 0.8¢/kg1/ 10 90 Canned............................................................................. Other................................................................................. kg kg Other:,,,,,,0,Pork......................................................................................... .................. 0.8¢/kg1/ 10 90 Canned............................................................................. Other................................................................................. kg kg Other:,0,first,0.8¢/kg,0.8¢/kg,0.8¢/kg
PDF,,,010022,,00 Having a staple length of 28.575 mm (1-1/8 inches) or more but under 34.925 mm (1-3/8 inches): Described in general note 15 of the tariff schedule and entered pursuant to its provisions................................. kg.............. 4.4¢/kg2/,,,,,,0,00 Having a staple length of 28.575 mm (1-1/8 inches) or more but under 34.925 mm (1-3/8 inches): Described in general note 15 of the tariff schedule and entered pursuant to its provisions................................. kg.............. 4.4¢/kg2/,0,first,4.4¢/kg,4.4¢/kg,4.4¢/kg
PDF,,,010024,,"during the 12-month period from August 1 in any year through July 31, inclusive, shall not exceed 1,400.0 metric tons (articles the product of Mexico shall not be permitted or included in the aforementioned quantitative limitation and no such articles shall be classifiable therein). Articles the product of countries or areas who are not members of the World Trade Organization shall not be permitted or included in the quantitative limitations set forth in this note. The aggregate quantity of cotton, not carded or combed, the product of any country or area including the United States, having a staple length of 28.575 mm (1-1/8 inches) or more but under 34.925 mm (1-3/8 inches) (except harsh or rough cotton, not carded or combed, having a staple length of 29.36875 mm (1-5/32 inches) or more and white in color) but including cotton of",,,,,,0,"during the 12-month period from August 1 in any year through July 31, inclusive, shall not exceed 1,400.0 metric tons (articles the product of Mexico shall not be permitted or included in the aforementioned quantitative limitation and no such articles shall be classifiable therein). Articles the product of countries or areas who are not members of the World Trade Organization shall not be permitted or included in the quantitative limitations set forth in this note. The aggregate quantity of cotton, not carded or combed, the product of any country or area including the United States, having a staple length of 28.575 mm (1-1/8 inches) or more but under 34.925 mm (1-3/8 inches) (except harsh or rough cotton, not carded or combed, having a staple length of 29.36875 mm (1-5/32 inches) or more and white in color) but including cotton of",0,first,,,
PDF,,,010028,,00 Other.......................................................................... kg.............. 31.4¢/kg2/ Other:,,,,,,0,00 Other.......................................................................... kg.............. 31.4¢/kg2/ Other:,0,first,31.4¢/kg,31.4¢/kg,31.4¢/kg
PDF,,,010030,,"00 Saddlery and harness for any animal (including traces, leads, knee pads, muzzles, saddle cloths, saddle bags, dog coats and the like), of any material: Dog leashes, collars, muzzles, harnesses and similar dog equipment............................................................................... No............. 2.4%1/ 35% 15% Free (A, AU, BH, CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG) Free (A*, AU, BH, CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG)",,,,,,0,"00 Saddlery and harness for any animal (including traces, leads, knee pads, muzzles, saddle cloths, saddle bags, dog coats and the like), of any material: Dog leashes, collars, muzzles, harnesses and similar dog equipment............................................................................... No............. 2.4%1/ 35% 15% Free (A, AU, BH, CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG) Free (A*, AU, BH, CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG)",0,first,Free,2.4%,35%
PDF,,,010034,,00 Described in additional U.S. note 7 to this chapter and entered pursuant to its provisions................... kg.............. 4.4¢/kg2/,,,,,,0,00 Described in additional U.S. note 7 to this chapter and entered pursuant to its provisions................... kg.............. 4.4¢/kg2/,0,first,4.4¢/kg,4.4¢/kg,4.4¢/kg
