_meta_source,_meta_hs_prefix,_meta_fetched_at_utc,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
IMPORT,,2026-02-13T21:07:18.228243+00:00,﻿HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity
IMPORT,7001.00,2026-02-13T21:07:18.228243+00:00,7001.00,0,"Cullet and other waste and scrap of glass, excluding glass from cathode-ray tubes or other activated glass of heading 8549; glass in the mass:",,,,,
IMPORT,,2026-02-13T21:07:18.228243+00:00,,1,Glass in the mass:,,,,,
IMPORT,7001.00.10.00,2026-02-13T21:07:18.228243+00:00,7001.00.10.00,2,Of fused quartz or other fused silica,"[""kg""]",Free,,30%,
IMPORT,7001.00.20.00,2026-02-13T21:07:18.228243+00:00,7001.00.20.00,2,Other,"[""kg""]",3%,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",50%,
IMPORT,7001.00.51.00,2026-02-13T21:07:18.228243+00:00,7001.00.51.00,1,Other,"[""kg""]",Free,,10%,
IMPORT,7002,2026-02-13T21:07:18.228243+00:00,7002,0,"Glass in balls (other than microspheres of heading 7018), rods or tubes, unworked:",,,,,
IMPORT,7002.10,2026-02-13T21:07:18.228243+00:00,7002.10,1,Balls:,,,,,
IMPORT,7002.10.10.00,2026-02-13T21:07:18.228243+00:00,7002.10.10.00,2,Not over 6 mm in diameter,"[""kg""]",3.9%,"Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)",60%,
IMPORT,7002.10.20.00,2026-02-13T21:07:18.228243+00:00,7002.10.20.00,2,Other,"[""kg""]",Free,,55%,
IMPORT,7002.20,2026-02-13T21:07:18.228243+00:00,7002.20,1,Rods:,,,,,
IMPORT,7002.20.10.00,2026-02-13T21:07:18.228243+00:00,7002.20.10.00,2,Of fused quartz or other fused silica,"[""kg""]",Free,,40%,
IMPORT,7002.20.50.00,2026-02-13T21:07:18.228243+00:00,7002.20.50.00,2,Other,"[""kg""]",6%,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",65%,
IMPORT,,2026-02-13T21:07:18.228243+00:00,,1,Tubes:,,,,,
IMPORT,7002.31.00.00,2026-02-13T21:07:18.228243+00:00,7002.31.00.00,2,Of fused quartz or other fused silica,"[""kg""]",Free,,40%,
IMPORT,7002.32.00.00,2026-02-13T21:07:18.228243+00:00,7002.32.00.00,2,Of other glass having a linear coefficient of expansion not exceeding 5 x 10<sup>-6</sup> per Kelvin within a temperature range of 0˚C to 300˚C,"[""kg""]",6%,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",65%,
IMPORT,7002.39.00,2026-02-13T21:07:18.228243+00:00,7002.39.00,2,Other,,6%,"Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",65%,
IMPORT,7002.39.00.10,2026-02-13T21:07:18.228243+00:00,7002.39.00.10,3,Of a length not exceeding 200 mm,"[""No.""]",,,,
IMPORT,7002.39.00.90,2026-02-13T21:07:18.228243+00:00,7002.39.00.90,3,Other,"[""kg""]",,,,
IMPORT,7003,2026-02-13T21:07:18.228243+00:00,7003,0,"Cast glass and rolled glass, in sheets or profiles, whether or not having an absorbent, reflecting or non-reflecting layer, but not otherwise worked:",,,,,
IMPORT,,2026-02-13T21:07:18.228243+00:00,,1,Nonwired sheets:,,,,,
IMPORT,7003.12.00.00,2026-02-13T21:07:18.228243+00:00,7003.12.00.00,2,"Colored throughout the mass (body tinted), opacified, flashed or having an absorbent, reflecting or non-reflecting layer","[""m<sup>2<\/sup>""]",1.4%,"Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",12%,
IMPORT,7003.19.00.00,2026-02-13T21:07:18.228243+00:00,7003.19.00.00,2,Other,"[""m<sup>2<\/sup>""]",1.3%,"Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",21%,
IMPORT,7003.20.00.00,2026-02-13T21:07:18.228243+00:00,7003.20.00.00,1,Wired sheets,"[""m<sup>2<\/sup>""]",1.1%,"Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",21%,
IMPORT,7003.30.00.00,2026-02-13T21:07:18.228243+00:00,7003.30.00.00,1,Profiles,"[""m<sup>2<\/sup>""]",6.3%,"Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",60%,
IMPORT,7004,2026-02-13T21:07:18.228243+00:00,7004,0,"Drawn glass and blown glass, in sheets, whether or not having an absorbent, reflecting or non-reflecting layer, but not otherwise worked:",,,,,
IMPORT,7004.20,2026-02-13T21:07:18.228243+00:00,7004.20,1,"Glass, colored throughout the mass (body tinted), opacified, flashed or having an absorbent, reflecting or non-reflecting layer:",,,,,
IMPORT,7004.20.10.00,2026-02-13T21:07:18.228243+00:00,7004.20.10.00,2,"Having an absorbent, reflecting or non-reflecting layer","[""m<sup>2<\/sup>""]",Free,,60%,
IMPORT,,2026-02-13T21:07:18.228243+00:00,,2,Other:,,,,,
IMPORT,7004.20.20,2026-02-13T21:07:18.228243+00:00,7004.20.20,3,In rectangular shape,,1¢/kg + 1.6%,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",6.2¢/kg + 5%,
IMPORT,7004.20.20.10,2026-02-13T21:07:18.228243+00:00,7004.20.20.10,4,Measuring less than 5 mm in thickness,"[""m<sup>2<\/sup>"",""kg""]",,,,
IMPORT,7004.20.20.20,2026-02-13T21:07:18.228243+00:00,7004.20.20.20,4,Measuring 5 mm and over in thickness,"[""m<sup>2<\/sup>"",""kg""]",,,,
IMPORT,7004.20.50.00,2026-02-13T21:07:18.228243+00:00,7004.20.50.00,3,Other,"[""m<sup>2<\/sup>""]",7.2%,"Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",60%,
IMPORT,7004.90,2026-02-13T21:07:18.228243+00:00,7004.90,1,Other glass:,,,,,
IMPORT,,2026-02-13T21:07:18.228243+00:00,,2,In rectangular shape:,,,,,
IMPORT,,2026-02-13T21:07:18.228243+00:00,,3,Measuring not over 1.5 mm in thickness:,,,,,
IMPORT,7004.90.05.00,2026-02-13T21:07:18.228243+00:00,7004.90.05.00,4,Measuring not over 0.26 m<sup>2</sup> in area,"[""m<sup>2<\/sup>"",""kg""]",Free,,3.3¢/kg,
IMPORT,7004.90.10.00,2026-02-13T21:07:18.228243+00:00,7004.90.10.00,4,Measuring over 0.26 m<sup>2</sup> in area,"[""m<sup>2<\/sup>"",""kg""]",Free,,4.2¢/kg,
IMPORT,,2026-02-13T21:07:18.228243+00:00,,3,Measuring over 1.5 but not over 2 mm in thickness:,,,,,
IMPORT,7004.90.15.00,2026-02-13T21:07:18.228243+00:00,7004.90.15.00,4,Measuring not over 0.26 m<sup>2</sup> in area,"[""m<sup>2<\/sup>"",""kg""]",Free,,4.6¢/kg,
IMPORT,7004.90.20.00,2026-02-13T21:07:18.228243+00:00,7004.90.20.00,4,Measuring over 0.26 m<sup>2</sup> in area,"[""m<sup>2<\/sup>"",""kg""]",Free,,5.5¢/kg,
IMPORT,7004.90.25,2026-02-13T21:07:18.228243+00:00,7004.90.25,3,Measuring over 2 but not over 3.5 mm in thickness,,0.7¢/kg,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",5.3¢/kg,
IMPORT,7004.90.25.10,2026-02-13T21:07:18.228243+00:00,7004.90.25.10,4,Measuring not over 0.26 m<sup>2</sup> in area,"[""m<sup>2<\/sup>"",""kg""]",,,,
IMPORT,7004.90.25.20,2026-02-13T21:07:18.228243+00:00,7004.90.25.20,4,Measuring over 0.26 but not over 0.58 m<sup>2</sup> in area,"[""m<sup>2<\/sup>"",""kg""]",,,,
IMPORT,7004.90.25.50,2026-02-13T21:07:18.228243+00:00,7004.90.25.50,4,Measuring over 0.58 m<sup>2</sup> in area,"[""m<sup>2<\/sup>"",""kg""]",,,,
IMPORT,,2026-02-13T21:07:18.228243+00:00,,3,Measuring over 3.5 mm in thickness:,,,,,
IMPORT,7004.90.30,2026-02-13T21:07:18.228243+00:00,7004.90.30,4,Measuring not over 0.65 m<sup>2</sup> in area,,Free,,3.3¢/kg,
IMPORT,,2026-02-13T21:07:18.228243+00:00,,5,Measuring not over 0.26 m<sup>2</sup> in area:,,,,,
IMPORT,7004.90.30.10,2026-02-13T21:07:18.228243+00:00,7004.90.30.10,6,Measuring over 3.5 but not over 5 mm in thickness,"[""m<sup>2<\/sup>"",""kg""]",,,,
IMPORT,7004.90.30.20,2026-02-13T21:07:18.228243+00:00,7004.90.30.20,6,Measuring over 5 mm in thickness,"[""m<sup>2<\/sup>"",""kg""]",,,,
IMPORT,7004.90.30.50,2026-02-13T21:07:18.228243+00:00,7004.90.30.50,5,Measuring over 0.26 but not over 0.65 m<sup>2</sup> in area,"[""m<sup>2<\/sup>"",""kg""]",,,,
IMPORT,7004.90.40.00,2026-02-13T21:07:18.228243+00:00,7004.90.40.00,4,Measuring over 0.65 m<sup>2</sup> in area,"[""m<sup>2<\/sup>"",""kg""]",Free,,5.3¢/kg,
IMPORT,7004.90.50.00,2026-02-13T21:07:18.228243+00:00,7004.90.50.00,2,Other,"[""m<sup>2<\/sup>""]",5%,"Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",60%,
IMPORT,7005,2026-02-13T21:07:18.228243+00:00,7005,0,"Float glass and surface ground or polished glass, in sheets, whether or not having an absorbent, reflecting or non-reflecting layer, but not otherwise worked:",,,,,
IMPORT,7005.10,2026-02-13T21:07:18.228243+00:00,7005.10,1,"Nonwired glass, having an absorbent, reflecting or non-reflecting layer:",,,,,
IMPORT,7005.10.40.00,2026-02-13T21:07:18.228243+00:00,7005.10.40.00,2,"Suitable for use in liquid crystal displays, measuring not over 1.2 mm in thickness and not over 0.8 m<sup>2</sup> in area","[""m<sup>2<\/sup>""]",Free,,60%,
